process_stage_fact_key,district_key,district_agency_key,district_process_hash_sha256,stage_sequence,stage_code,action_th,owner_role_th,manual_document_duration_days,timing_is_emergency_response_sla,verification_status
090830afd0d4d792347722b0e01cb4ef7311a90ff48bee5f6dee23f769790a82,1002,bma-district-1002,0cbb7e34b1f55725cedb68b63c68377fd2c1990a85efdec2a3a20a815732b8d6,5,operate_coordinate_report,ดำเนินการแก้ไข ประสาน DDS/หน่วยสนับสนุน และรายงานผล,สำนักงานเขตและหน่วยงานที่เกี่ยวข้อง,3,0,pending_district_confirmation
a185a0bb2e821a1cc604628062533a61593b2557d346d8c94f3cab1e8fd81a30,1002,bma-district-1002,0cbb7e34b1f55725cedb68b63c68377fd2c1990a85efdec2a3a20a815732b8d6,6,damage_recovery_close,สำรวจความเสียหาย ช่วยเหลือ ฟื้นฟู และสรุปรายงาน,ศูนย์บัญชาการเหตุการณ์สำนักงานเขต,,0,pending_district_confirmation
38ee58ea42cbca34aa5b01af449a1db46a78a0341a2a2a5f817e9db18d904dfe,1003,bma-district-1003,d1fd5d04500ca62475835e73189cfbed3f0a7fe22db8c9b1fcf8780f709cb30f,1,monitor_receive_report,ติดตามฝน จุดเสี่ยง รับแจ้งเหตุ และรายงานสถานการณ์,เจ้าหน้าที่สำนักงานเขต,,0,pending_district_confirmation
21a2da23cc3aeebe6df3cba4bb2c4ef711c5cca57e2c0351ac2971b4b4db8d61,1003,bma-district-1003,d1fd5d04500ca62475835e73189cfbed3f0a7fe22db8c9b1fcf8780f709cb30f,2,district_command,ผู้อำนวยการเขตสั่งการ และจัดตั้งศูนย์บัญชาการเมื่อเข้าเงื่อนไขสาธารณภัย,ผู้อำนวยการเขต,,0,pending_district_confirmation
771292c8faae68fd70087ae9e5419e50ed1ffb01d85c9e01d459d10bf1051dba,1003,bma-district-1003,d1fd5d04500ca62475835e73189cfbed3f0a7fe22db8c9b1fcf8780f709cb30f,3,public_works_inspection,ฝ่ายโยธาสำรวจและตรวจสอบพื้นที่,ฝ่ายโยธา/กลุ่มงานระบายน้ำ,2,0,pending_district_confirmation
ba4078e8492f89e1a280f716b26dee46c7220b75c2f61f99478508cda6277687,1003,bma-district-1003,d1fd5d04500ca62475835e73189cfbed3f0a7fe22db8c9b1fcf8780f709cb30f,4,resource_preparation,เตรียมกำลัง วัสดุ อุปกรณ์ และเครื่องสูบน้ำ,ฝ่ายโยธาและหน่วยสนับสนุน,2,0,pending_district_confirmation
038b3ff805f39a08c765e0a8496a31db40e6d7ddb28c3b725daa6a8f91cd6540,1003,bma-district-1003,d1fd5d04500ca62475835e73189cfbed3f0a7fe22db8c9b1fcf8780f709cb30f,5,operate_coordinate_report,ดำเนินการแก้ไข ประสาน DDS/หน่วยสนับสนุน และรายงานผล,สำนักงานเขตและหน่วยงานที่เกี่ยวข้อง,3,0,pending_district_confirmation
0f121403ec9d74903d67f383920b7a344baa848febba3cdedfa82806a2167d09,1003,bma-district-1003,d1fd5d04500ca62475835e73189cfbed3f0a7fe22db8c9b1fcf8780f709cb30f,6,damage_recovery_close,สำรวจความเสียหาย ช่วยเหลือ ฟื้นฟู และสรุปรายงาน,ศูนย์บัญชาการเหตุการณ์สำนักงานเขต,,0,pending_district_confirmation
c3677f346f4647e3a5670dfafe218c8c772910a4ef5887bff22ba4de1134468d,1004,bma-district-1004,f1368051431bbd1b341f3e409dcff9a9abaa463c3aacaf5310e9147b72b8931f,1,monitor_receive_report,ติดตามฝน จุดเสี่ยง รับแจ้งเหตุ และรายงานสถานการณ์,เจ้าหน้าที่สำนักงานเขต,,0,pending_district_confirmation
753c6c0a848bb3f6810450b666ca4ed45efe3d3b3ff454f4ce9b8c5b4cffde13,1004,bma-district-1004,f1368051431bbd1b341f3e409dcff9a9abaa463c3aacaf5310e9147b72b8931f,2,district_command,ผู้อำนวยการเขตสั่งการ และจัดตั้งศูนย์บัญชาการเมื่อเข้าเงื่อนไขสาธารณภัย,ผู้อำนวยการเขต,,0,pending_district_confirmation
caf3e9e7186427691db332a00b346b50402ed6170607ec3490652cadf3eee14b,1004,bma-district-1004,f1368051431bbd1b341f3e409dcff9a9abaa463c3aacaf5310e9147b72b8931f,3,public_works_inspection,ฝ่ายโยธาสำรวจและตรวจสอบพื้นที่,ฝ่ายโยธา/กลุ่มงานระบายน้ำ,2,0,pending_district_confirmation
33f06e0d79ac925005e2f04550da74de15de7070c5a6f004cc920b28e080e4ef,1004,bma-district-1004,f1368051431bbd1b341f3e409dcff9a9abaa463c3aacaf5310e9147b72b8931f,4,resource_preparation,เตรียมกำลัง วัสดุ อุปกรณ์ และเครื่องสูบน้ำ,ฝ่ายโยธาและหน่วยสนับสนุน,2,0,pending_district_confirmation
f9bf9f8b8e343995c7cf3a4d4a859c5173d1135cffd9b9c95e07561cbe52196e,1004,bma-district-1004,f1368051431bbd1b341f3e409dcff9a9abaa463c3aacaf5310e9147b72b8931f,5,operate_coordinate_report,ดำเนินการแก้ไข ประสาน DDS/หน่วยสนับสนุน และรายงานผล,สำนักงานเขตและหน่วยงานที่เกี่ยวข้อง,3,0,pending_district_confirmation
5db21c78dcf9c97ec406b19ff159d91d8cfee9e484ff08c27c0f0af174ac4b32,1004,bma-district-1004,f1368051431bbd1b341f3e409dcff9a9abaa463c3aacaf5310e9147b72b8931f,6,damage_recovery_close,สำรวจความเสียหาย ช่วยเหลือ ฟื้นฟู และสรุปรายงาน,ศูนย์บัญชาการเหตุการณ์สำนักงานเขต,,0,pending_district_confirmation
22cc9571579d671509f8c6cd9f7807f84a20aeb9fc8979a1b2fbb6922e777fc4,1005,bma-district-1005,f776a8d173e641f831a3ee508d7e2d11720f7a581de2cfaf6c1a88b7a23a8b52,1,monitor_receive_report,ติดตามฝน จุดเสี่ยง รับแจ้งเหตุ และรายงานสถานการณ์,เจ้าหน้าที่สำนักงานเขต,,0,pending_district_confirmation
80327c73c7fd29898085377c7e0d13f4e170d313df4064dd6f8910407d88ea7c,1005,bma-district-1005,f776a8d173e641f831a3ee508d7e2d11720f7a581de2cfaf6c1a88b7a23a8b52,2,district_command,ผู้อำนวยการเขตสั่งการ และจัดตั้งศูนย์บัญชาการเมื่อเข้าเงื่อนไขสาธารณภัย,ผู้อำนวยการเขต,,0,pending_district_confirmation
ad4a21dbf00834557d2f96a8ba89c2696e61ab087022a562497c6b24cbc08e8e,1005,bma-district-1005,f776a8d173e641f831a3ee508d7e2d11720f7a581de2cfaf6c1a88b7a23a8b52,3,public_works_inspection,ฝ่ายโยธาสำรวจและตรวจสอบพื้นที่,ฝ่ายโยธา/กลุ่มงานระบายน้ำ,2,0,pending_district_confirmation
cc05d842122261f1b237a6dec215018c3c0ca7f013418d97cfeb6fd0c08bf6e2,1005,bma-district-1005,f776a8d173e641f831a3ee508d7e2d11720f7a581de2cfaf6c1a88b7a23a8b52,4,resource_preparation,เตรียมกำลัง วัสดุ อุปกรณ์ และเครื่องสูบน้ำ,ฝ่ายโยธาและหน่วยสนับสนุน,2,0,pending_district_confirmation
1684a0c2a2abcdd8f2c0bad4ca98351d9aa2e725008d265f5825c0c311bd3c71,1005,bma-district-1005,f776a8d173e641f831a3ee508d7e2d11720f7a581de2cfaf6c1a88b7a23a8b52,5,operate_coordinate_report,ดำเนินการแก้ไข ประสาน DDS/หน่วยสนับสนุน และรายงานผล,สำนักงานเขตและหน่วยงานที่เกี่ยวข้อง,3,0,pending_district_confirmation
d93dc557988886812940a5412b381dd9287aa27323af7d793909515a5d297189,1005,bma-district-1005,f776a8d173e641f831a3ee508d7e2d11720f7a581de2cfaf6c1a88b7a23a8b52,6,damage_recovery_close,สำรวจความเสียหาย ช่วยเหลือ ฟื้นฟู และสรุปรายงาน,ศูนย์บัญชาการเหตุการณ์สำนักงานเขต,,0,pending_district_confirmation
64b75950e161352147686a9570380abdd3a4b19fbcc563f661ad96610e985062,1006,bma-district-1006,d1fa29d40b86b7ad20199cf40d53a69b686a8fa178d8e865df556c7803e62236,1,monitor_receive_report,ติดตามฝน จุดเสี่ยง รับแจ้งเหตุ และรายงานสถานการณ์,เจ้าหน้าที่สำนักงานเขต,,0,pending_district_confirmation
5a458768488c06a3f672248107ea890b0da49ef2030f2591cbeb3af2baffc01b,1006,bma-district-1006,d1fa29d40b86b7ad20199cf40d53a69b686a8fa178d8e865df556c7803e62236,2,district_command,ผู้อำนวยการเขตสั่งการ และจัดตั้งศูนย์บัญชาการเมื่อเข้าเงื่อนไขสาธารณภัย,ผู้อำนวยการเขต,,0,pending_district_confirmation
526dafc40ab2b6cd3c4ad48b1956659636fe68371d7beb78be676543393d3775,1006,bma-district-1006,d1fa29d40b86b7ad20199cf40d53a69b686a8fa178d8e865df556c7803e62236,3,public_works_inspection,ฝ่ายโยธาสำรวจและตรวจสอบพื้นที่,ฝ่ายโยธา/กลุ่มงานระบายน้ำ,2,0,pending_district_confirmation
d3e41d4ddc342a27037c779e02c5751b28a20d6d7b072d84c24f1808b30ad19b,1006,bma-district-1006,d1fa29d40b86b7ad20199cf40d53a69b686a8fa178d8e865df556c7803e62236,4,resource_preparation,เตรียมกำลัง วัสดุ อุปกรณ์ และเครื่องสูบน้ำ,ฝ่ายโยธาและหน่วยสนับสนุน,2,0,pending_district_confirmation
2a29c83a4af3641a7c0f683e0a4d4b3f0ca414eeb8d057aea36f9e51368982b6,1006,bma-district-1006,d1fa29d40b86b7ad20199cf40d53a69b686a8fa178d8e865df556c7803e62236,5,operate_coordinate_report,ดำเนินการแก้ไข ประสาน DDS/หน่วยสนับสนุน และรายงานผล,สำนักงานเขตและหน่วยงานที่เกี่ยวข้อง,3,0,pending_district_confirmation
be71b4e605409848382dee7d2862ea9dc7945cf67c94409066a14f2e71d838ef,1006,bma-district-1006,d1fa29d40b86b7ad20199cf40d53a69b686a8fa178d8e865df556c7803e62236,6,damage_recovery_close,สำรวจความเสียหาย ช่วยเหลือ ฟื้นฟู และสรุปรายงาน,ศูนย์บัญชาการเหตุการณ์สำนักงานเขต,,0,pending_district_confirmation
90c642257128c3317598091980850c987a7c885a41c710f9de60d90c9f858661,1007,bma-district-1007,65fa977991b462da7b86b3fd4f0823a854ee12b20bb4ec1a3eff0c46e96a608b,1,monitor_receive_report,ติดตามฝน จุดเสี่ยง รับแจ้งเหตุ และรายงานสถานการณ์,เจ้าหน้าที่สำนักงานเขต,,0,pending_district_confirmation
8b8fda34148cfac26de722597540edbdffa71e224a309628c5a2771026207611,1007,bma-district-1007,65fa977991b462da7b86b3fd4f0823a854ee12b20bb4ec1a3eff0c46e96a608b,2,district_command,ผู้อำนวยการเขตสั่งการ และจัดตั้งศูนย์บัญชาการเมื่อเข้าเงื่อนไขสาธารณภัย,ผู้อำนวยการเขต,,0,pending_district_confirmation
c9dd37a043ccdfff334d524b7625b6bb67323bd5facd13d6816351e4b0acd3e3,1007,bma-district-1007,65fa977991b462da7b86b3fd4f0823a854ee12b20bb4ec1a3eff0c46e96a608b,3,public_works_inspection,ฝ่ายโยธาสำรวจและตรวจสอบพื้นที่,ฝ่ายโยธา/กลุ่มงานระบายน้ำ,2,0,pending_district_confirmation
7ccee52795056b2a01d9c25f2640cc2534091ed4f0c734c7d594be701a582da4,1007,bma-district-1007,65fa977991b462da7b86b3fd4f0823a854ee12b20bb4ec1a3eff0c46e96a608b,4,resource_preparation,เตรียมกำลัง วัสดุ อุปกรณ์ และเครื่องสูบน้ำ,ฝ่ายโยธาและหน่วยสนับสนุน,2,0,pending_district_confirmation
0ff34cdc98e202415e76857ae7a0e1592171c598ec29f349054657f809247367,1007,bma-district-1007,65fa977991b462da7b86b3fd4f0823a854ee12b20bb4ec1a3eff0c46e96a608b,5,operate_coordinate_report,ดำเนินการแก้ไข ประสาน DDS/หน่วยสนับสนุน และรายงานผล,สำนักงานเขตและหน่วยงานที่เกี่ยวข้อง,3,0,pending_district_confirmation
79545242021e2d129ea3e667fa3f314a37ac8ba6c78bd3d160dace2d7da1ea9f,1007,bma-district-1007,65fa977991b462da7b86b3fd4f0823a854ee12b20bb4ec1a3eff0c46e96a608b,6,damage_recovery_close,สำรวจความเสียหาย ช่วยเหลือ ฟื้นฟู และสรุปรายงาน,ศูนย์บัญชาการเหตุการณ์สำนักงานเขต,,0,pending_district_confirmation
96ece7d87edececda437ccf4c21fac709f8c28d2ff34f7b008699852cee42975,1008,bma-district-1008,bc374aed86e20c653bf7f2fbf4656c492ea2f0c47d655698653b97cb9ce6f872,1,monitor_receive_report,ติดตามฝน จุดเสี่ยง รับแจ้งเหตุ และรายงานสถานการณ์,เจ้าหน้าที่สำนักงานเขต,,0,pending_district_confirmation
1c0bd8f3d9709b7ed97c6b6d4939391261165f90e0b0e2da4332dd577e4c766e,1008,bma-district-1008,bc374aed86e20c653bf7f2fbf4656c492ea2f0c47d655698653b97cb9ce6f872,2,district_command,ผู้อำนวยการเขตสั่งการ และจัดตั้งศูนย์บัญชาการเมื่อเข้าเงื่อนไขสาธารณภัย,ผู้อำนวยการเขต,,0,pending_district_confirmation
7227c8a8b1ad1c8c8c1c8e48d28f309fdc026b102ae9956461d1d2af057b9e32,1008,bma-district-1008,bc374aed86e20c653bf7f2fbf4656c492ea2f0c47d655698653b97cb9ce6f872,3,public_works_inspection,ฝ่ายโยธาสำรวจและตรวจสอบพื้นที่,ฝ่ายโยธา/กลุ่มงานระบายน้ำ,2,0,pending_district_confirmation
cb6a6bbf1fb47e093f8866400f2b8fdcde2fd9b293432cacb8ca177dbdfe3618,1008,bma-district-1008,bc374aed86e20c653bf7f2fbf4656c492ea2f0c47d655698653b97cb9ce6f872,4,resource_preparation,เตรียมกำลัง วัสดุ อุปกรณ์ และเครื่องสูบน้ำ,ฝ่ายโยธาและหน่วยสนับสนุน,2,0,pending_district_confirmation
5b1902b1ac99ae6beac63d853215688ffeb50ccc9674bf25fd8343af5779fa2d,1008,bma-district-1008,bc374aed86e20c653bf7f2fbf4656c492ea2f0c47d655698653b97cb9ce6f872,5,operate_coordinate_report,ดำเนินการแก้ไข ประสาน DDS/หน่วยสนับสนุน และรายงานผล,สำนักงานเขตและหน่วยงานที่เกี่ยวข้อง,3,0,pending_district_confirmation
a88a519b62da5d366da5b727c6b3e379570a4b00d5a003bbeba8c4997dbd7472,1008,bma-district-1008,bc374aed86e20c653bf7f2fbf4656c492ea2f0c47d655698653b97cb9ce6f872,6,damage_recovery_close,สำรวจความเสียหาย ช่วยเหลือ ฟื้นฟู และสรุปรายงาน,ศูนย์บัญชาการเหตุการณ์สำนักงานเขต,,0,pending_district_confirmation
685ad528395fd13283a667ae6247392e889be3ba8747ae61d0ab8c85139a07c9,1009,bma-district-1009,acb1d5f78a496517060704c9487bc9615b5d345a8edddfe54b17c61aee16b228,1,monitor_receive_report,ติดตามฝน จุดเสี่ยง รับแจ้งเหตุ และรายงานสถานการณ์,เจ้าหน้าที่สำนักงานเขต,,0,pending_district_confirmation
a6149ce241305a4c65008a16ba13899eed9076022dd258482cacc84a78e97e6d,1009,bma-district-1009,acb1d5f78a496517060704c9487bc9615b5d345a8edddfe54b17c61aee16b228,2,district_command,ผู้อำนวยการเขตสั่งการ และจัดตั้งศูนย์บัญชาการเมื่อเข้าเงื่อนไขสาธารณภัย,ผู้อำนวยการเขต,,0,pending_district_confirmation
a12467cacda6f9e9e02a3803b6b301794c1ef45a3f44fbb1a2219cd8c21fcb4f,1009,bma-district-1009,acb1d5f78a496517060704c9487bc9615b5d345a8edddfe54b17c61aee16b228,3,public_works_inspection,ฝ่ายโยธาสำรวจและตรวจสอบพื้นที่,ฝ่ายโยธา/กลุ่มงานระบายน้ำ,2,0,pending_district_confirmation
ad306dd54502d994e4de7b3ede13c9b4f743fced4359d51e8c512e07199327d1,1009,bma-district-1009,acb1d5f78a496517060704c9487bc9615b5d345a8edddfe54b17c61aee16b228,4,resource_preparation,เตรียมกำลัง วัสดุ อุปกรณ์ และเครื่องสูบน้ำ,ฝ่ายโยธาและหน่วยสนับสนุน,2,0,pending_district_confirmation
1702aa6e2ad1e38f09bb449890ef0cc627c96290890a7771cb693fe0717cf712,1009,bma-district-1009,acb1d5f78a496517060704c9487bc9615b5d345a8edddfe54b17c61aee16b228,5,operate_coordinate_report,ดำเนินการแก้ไข ประสาน DDS/หน่วยสนับสนุน และรายงานผล,สำนักงานเขตและหน่วยงานที่เกี่ยวข้อง,3,0,pending_district_confirmation
a218f52bfbcd59e34a48c86ae9d9cf63fc511a07b74baa6b2f2e3843a91e4f5d,1009,bma-district-1009,acb1d5f78a496517060704c9487bc9615b5d345a8edddfe54b17c61aee16b228,6,damage_recovery_close,สำรวจความเสียหาย ช่วยเหลือ ฟื้นฟู และสรุปรายงาน,ศูนย์บัญชาการเหตุการณ์สำนักงานเขต,,0,pending_district_confirmation
01b93d98e791082dd9e8aa3591f6abad04896baa4efa29c72812d2382a31977c,1010,bma-district-1010,e9810265dda9dcf8f2fd3d7393bc437cf15936d02d4a650a061c9f9d7681c6a0,1,monitor_receive_report,ติดตามฝน จุดเสี่ยง รับแจ้งเหตุ และรายงานสถานการณ์,เจ้าหน้าที่สำนักงานเขต,,0,pending_district_confirmation
d5a7877a77ce723d781d6afcce33d152b361e30a159cfd192e3a15157c3ad562,1010,bma-district-1010,e9810265dda9dcf8f2fd3d7393bc437cf15936d02d4a650a061c9f9d7681c6a0,2,district_command,ผู้อำนวยการเขตสั่งการ และจัดตั้งศูนย์บัญชาการเมื่อเข้าเงื่อนไขสาธารณภัย,ผู้อำนวยการเขต,,0,pending_district_confirmation
622a5ef7a8829e5005f2314746ffa0132c6543099a2d7362ea3a66b7f72bd1c0,1010,bma-district-1010,e9810265dda9dcf8f2fd3d7393bc437cf15936d02d4a650a061c9f9d7681c6a0,3,public_works_inspection,ฝ่ายโยธาสำรวจและตรวจสอบพื้นที่,ฝ่ายโยธา/กลุ่มงานระบายน้ำ,2,0,pending_district_confirmation
71f8c36e6a7dcf1bd5feecb08a78414119e1b46c495a572160382bb6c8230471,1010,bma-district-1010,e9810265dda9dcf8f2fd3d7393bc437cf15936d02d4a650a061c9f9d7681c6a0,4,resource_preparation,เตรียมกำลัง วัสดุ อุปกรณ์ และเครื่องสูบน้ำ,ฝ่ายโยธาและหน่วยสนับสนุน,2,0,pending_district_confirmation
dd4b47e2774e8a558a280e93af68d36ad2b003508517033ffa13096665a247c5,1010,bma-district-1010,e9810265dda9dcf8f2fd3d7393bc437cf15936d02d4a650a061c9f9d7681c6a0,5,operate_coordinate_report,ดำเนินการแก้ไข ประสาน DDS/หน่วยสนับสนุน และรายงานผล,สำนักงานเขตและหน่วยงานที่เกี่ยวข้อง,3,0,pending_district_confirmation
39bd265ff2b2c3b823af715815fbddc2354f4b3ae0943dc19e4fd388a296bfb6,1010,bma-district-1010,e9810265dda9dcf8f2fd3d7393bc437cf15936d02d4a650a061c9f9d7681c6a0,6,damage_recovery_close,สำรวจความเสียหาย ช่วยเหลือ ฟื้นฟู และสรุปรายงาน,ศูนย์บัญชาการเหตุการณ์สำนักงานเขต,,0,pending_district_confirmation
b1d83757bbf4533546f0fd303db56b2c54e2ad27b401559a67275a3a19a23dda,1011,bma-district-1011,2f8dbcb156dbbcf12a5855be8305ade7dd9d491d93a44caa4711fdf787c44a39,1,monitor_receive_report,ติดตามฝน จุดเสี่ยง รับแจ้งเหตุ และรายงานสถานการณ์,เจ้าหน้าที่สำนักงานเขต,,0,pending_district_confirmation
bc9b6cfb6d5b4e013bf829080888c7ca273ab787b4a50e10890fc54284ef6a01,1011,bma-district-1011,2f8dbcb156dbbcf12a5855be8305ade7dd9d491d93a44caa4711fdf787c44a39,2,district_command,ผู้อำนวยการเขตสั่งการ และจัดตั้งศูนย์บัญชาการเมื่อเข้าเงื่อนไขสาธารณภัย,ผู้อำนวยการเขต,,0,pending_district_confirmation
1b8ac57f8251f3f181c9e9d726700e33d2742eab3d54067dc6380b7fd2976d93,1011,bma-district-1011,2f8dbcb156dbbcf12a5855be8305ade7dd9d491d93a44caa4711fdf787c44a39,3,public_works_inspection,ฝ่ายโยธาสำรวจและตรวจสอบพื้นที่,ฝ่ายโยธา/กลุ่มงานระบายน้ำ,2,0,pending_district_confirmation
a14c1f9f2c3f238630af05d5a65d053cb401d7574eb9537a5f815624e864215d,1011,bma-district-1011,2f8dbcb156dbbcf12a5855be8305ade7dd9d491d93a44caa4711fdf787c44a39,4,resource_preparation,เตรียมกำลัง วัสดุ อุปกรณ์ และเครื่องสูบน้ำ,ฝ่ายโยธาและหน่วยสนับสนุน,2,0,pending_district_confirmation
f2dd0b79b7c668a877e69025a9842c7a7d0ac88369b80d166d74f7c7dbc355c5,1011,bma-district-1011,2f8dbcb156dbbcf12a5855be8305ade7dd9d491d93a44caa4711fdf787c44a39,5,operate_coordinate_report,ดำเนินการแก้ไข ประสาน DDS/หน่วยสนับสนุน และรายงานผล,สำนักงานเขตและหน่วยงานที่เกี่ยวข้อง,3,0,pending_district_confirmation
0ed9ef4bf74df2cfdce9f9d896372a28fb8aceed3ba5ee764b4ee2095a8b44e1,1011,bma-district-1011,2f8dbcb156dbbcf12a5855be8305ade7dd9d491d93a44caa4711fdf787c44a39,6,damage_recovery_close,สำรวจความเสียหาย ช่วยเหลือ ฟื้นฟู และสรุปรายงาน,ศูนย์บัญชาการเหตุการณ์สำนักงานเขต,,0,pending_district_confirmation
cf89adcd5a06979fdcad93f38947922292fcc74aa0bb92a9b728d3d477be7547,1012,bma-district-1012,2197e4c6a707598da9f44b5eca5b5fa07416affe4e1f355c2e7f6af61bf4f5cb,1,monitor_receive_report,ติดตามฝน จุดเสี่ยง รับแจ้งเหตุ และรายงานสถานการณ์,เจ้าหน้าที่สำนักงานเขต,,0,pending_district_confirmation
95921eea32bfdb0a4b4af1d8d6f22be322c534315c43a1e81154d135e51c71aa,1012,bma-district-1012,2197e4c6a707598da9f44b5eca5b5fa07416affe4e1f355c2e7f6af61bf4f5cb,2,district_command,ผู้อำนวยการเขตสั่งการ และจัดตั้งศูนย์บัญชาการเมื่อเข้าเงื่อนไขสาธารณภัย,ผู้อำนวยการเขต,,0,pending_district_confirmation
884eaa4b7edf1df8475800b31d1e6cdf885c25d776b6c48a0bdeca68fc6d7f98,1012,bma-district-1012,2197e4c6a707598da9f44b5eca5b5fa07416affe4e1f355c2e7f6af61bf4f5cb,3,public_works_inspection,ฝ่ายโยธาสำรวจและตรวจสอบพื้นที่,ฝ่ายโยธา/กลุ่มงานระบายน้ำ,2,0,pending_district_confirmation
f60573075640006b31e4d97ed817516525ece96f8b79a54a982e45799227578d,1012,bma-district-1012,2197e4c6a707598da9f44b5eca5b5fa07416affe4e1f355c2e7f6af61bf4f5cb,4,resource_preparation,เตรียมกำลัง วัสดุ อุปกรณ์ และเครื่องสูบน้ำ,ฝ่ายโยธาและหน่วยสนับสนุน,2,0,pending_district_confirmation
8ba8e80f50fde551b3a7fbd2e8530ce239ff01a3df422fd38c275c11641a9b61,1012,bma-district-1012,2197e4c6a707598da9f44b5eca5b5fa07416affe4e1f355c2e7f6af61bf4f5cb,5,operate_coordinate_report,ดำเนินการแก้ไข ประสาน DDS/หน่วยสนับสนุน และรายงานผล,สำนักงานเขตและหน่วยงานที่เกี่ยวข้อง,3,0,pending_district_confirmation
70beceb575f72bbdbde54512b100fdde6219f4f02ac9e87779300c825a972857,1012,bma-district-1012,2197e4c6a707598da9f44b5eca5b5fa07416affe4e1f355c2e7f6af61bf4f5cb,6,damage_recovery_close,สำรวจความเสียหาย ช่วยเหลือ ฟื้นฟู และสรุปรายงาน,ศูนย์บัญชาการเหตุการณ์สำนักงานเขต,,0,pending_district_confirmation
