id,name_th,name_en,river_name,latitude,longitude,timestamp,wl_in,wl_out,warning_in,critical_in,pump_count_total,pump_count_active,gate_count_total,status
132,ค.ลำปลาทิว ถ. สังฆสันติสุข,"Lam Pla Thiu Canal, Sangkhasantisuk Rd.",คลองลำปลาทิว,13.85366,100.86679,2026-06-22 19:25:00,0.3,-99,0.9,1.1,0,0,0,Normal
135,ค.ลำปลาทิว ซ.ฉลองกรุง,"Lam Pla Thiu Canal, Soi Chalong Krung",คลองลำปลาทิว,13.74068,100.79474,2026-06-22 21:05:00,0.04,-99,0.5,0.6,0,0,0,Normal
137,ค.บ้านป่า ถ.พัฒนาการ,"Ban Pa Canal, Phatthanakan Rd.",คลองบ้านป่า,13.7367,100.61167,2026-06-22 21:05:00,-0.62,-99,-0.2,0.0,0,0,0,Normal
138,ค.กะจะ ถ.พระราม 9,"Ka Ja Canal, Rama 9 Rd.",คลองกะจะ,13.74381,100.61168,2026-06-22 21:05:00,-1.22,-99,0.0,0.1,0,0,0,Normal
139,ค.กะจะ ถ.พระราม 9 ซ.57,"Ka Ja Canal, Rama 9 Rd. Soi 57",คลองกะจะ,13.74953,100.63387,2026-06-22 21:05:00,-0.97,-99,-0.2,0.0,0,0,0,Normal
141,ค.บางกระบือ ถ.สามเสน,"Bang Krabue Canal, Samsen Rd.",คลองบางกระบือ,13.79154,100.51662,2026-06-22 21:05:00,-0.51,-99,0.8,1.0,0,0,0,Normal
148,ค.รางอ้อ-รางแก้ว ถ.พหลโยธิน,Khlong Rang O - Rang Kaeo (Phahonyothin Rd.),คลองรางอ้อ-รางแก้ว,13.88471,100.60201,2026-06-22 21:05:00,0.09,-99,0.8,0.9,0,0,0,Normal
149,ค.ตาหนัง  ถ.ลาดพร้าว,"Ta Nang Canal, Lat Phrao Rd.",คลองตาหนัง,13.76725,100.64345,2026-06-09 12:10:00,-2.0,-99,-0.2,0.0,0,0,0,Normal
150,ค.บ้านหลาย ถ.สุขุมวิท 77,"Ban Lai Canal, Sukhumvit 77 Rd.",คลองบ้านหลาย,13.70918,100.6217,2026-06-22 21:05:00,-0.79,-99,0.4,0.5,0,0,0,Normal
151,ค.หลอด 3 ถ.บางนา ตราด,"Lod 3 Canal, Bang Na Trat Rd.",คลองหลอด 3,13.66749,100.63337,2026-06-22 21:05:00,-0.45,-99,0.4,0.6,0,0,0,Normal
152,ค.ทรงกระเทียม ถ.นาคนิวาส,"Songkrathiam Canal, Nakniwat Rd.",คลองทรงกระเทียม,13.80028,100.6068,2026-06-22 21:05:00,-0.67,-99,-0.2,0.0,0,0,0,Normal
153,ค.ทรงกระเทียม  ปตร คลองทรงกระเทียม,"Songkrathiam Canal, Songkrathiam Drainage Gate",คลองทรงกระเทียม,13.80003,100.62285,2026-06-22 21:05:00,-0.69,-99,-0.2,0.0,0,0,0,Normal
155,ถ. ประชาสงเคราะห์,Prachasongkhro Rd.,คลองห้วยขวาง,13.77814,100.57206,2026-06-22 21:05:00,-0.77,-99,-0.2,0.0,0,0,0,Normal
156,ถ. เทียมร่วมมิตร,Thian Ruammit Rd.,คลองห้วยขวาง,13.76755,100.57674,2026-06-22 21:05:00,-0.71,-99,0.1,0.3,0,0,0,Normal
158,ค.คูนายกิม ถ.ประชาอุทิศ,"Khunaikim Canal, Pracha Uthit Rd.",คูนายกิมสาย 3,13.9272,100.58565,2026-06-22 21:05:00,-0.43,-99,0.7,0.9,0,0,0,Normal
159,ค.ตาอูฐ ซ.แจ้งวัฒนะ 14,"Ta Uth Canal, Soi Chaeng Watthana 14",คลองตาอูฐ,13.91159,100.56559,2026-06-22 21:05:00,-1.33,-99,0.3,0.5,0,0,0,Normal
162,ค.เคล็ด ถ.สุขุมวิท 77,"Kled Canal, Sukhumvit Rd. 77",คลองเคล็ด,13.7091,100.6307,2026-06-22 21:05:00,-0.56,-99,0.5,0.6,0,0,0,Normal
163,ค.เคล็ด ถ.สุภาพงษ์ 1,"Kled Canal, Supaphong Rd. 1",คลองเคล็ด,13.68886,100.63809,2026-06-22 21:05:00,-0.61,-99,0.6,0.8,0,0,0,Normal
164,ค.เคล็ด ถ.ศรีนครินทร์,"Kled Canal, Srinakarin Rd.",คลองเคล็ด,13.67123,100.6439,2026-06-22 21:10:00,-0.54,-99,0.8,1.0,0,0,0,Normal
165,ค.ขุนสกล ซ.ศรีนครินทร์ 36,"Khun Sakon Canal, Soi Srinakarin 36",คลองขุนสกล,13.70346,100.64388,2026-06-22 21:05:00,-0.6,-99,0.0,0.1,0,0,0,Normal
166,ค.บางนางจีน ส.สูบน้ำบางนางจีน,"Bang Nang Chin Canal, Bang Nang Chin Water Pumping Station",คลองบางนางจีน,13.71075,100.60308,2026-06-22 17:55:00,-0.97,-99,-0.5,-0.4,0,0,0,Normal
167,ค.บางนางจีน ซ.สุขุมวิท 93,"Bang Nang Chin Canal, Soi Sukhumvit 93",คลองบางนางจีน,13.7006,100.60891,2026-06-22 21:05:00,-0.93,-99,-0.1,0.0,0,0,0,Normal
168,ค.ลาว ถ.พัฒนาการ,"Lao Canal, Phatthanakan Rd.",คลองลาว,13.73722,100.62499,2026-06-22 21:05:00,-0.51,-99,-0.2,0.0,0,0,0,Normal
169,ค.แสนแสบ ซ.สมคิด,"Saen Saep Canal, Soi Somkid",คลองแสนแสบ,13.74846,100.54583,2026-03-23 09:50:00,-0.27,-99,0.0,0.1,0,0,0,Normal
172,ค.หลวงแพ่ง วัดลำต้อยติ่ง,"Luang Paeng Canal, Lam Toi Ting Temple",คลองหลวงแพ่ง,13.75489,100.88956,2026-06-22 21:05:00,0.2,-99,0.6,0.7,0,0,0,Normal
173,ค.หนองบอน อ่อนนุช 66 ซ.13,"Nong Bon Canal, On Nut 66, Soi 13",คลองหนองบอน,13.70382,100.65075,2026-06-22 21:05:00,-0.48,-99,0.0,0.1,0,0,0,Normal
174,ค.หนองบอน ถ.เฉลิมพระเกียรติรัชกาลที่ 9,"Nong Bon Canal, Chaloem Phrakiat Rama 9 Rd.",คลองหนองบอน,13.678,100.66295,2026-06-22 21:05:00,-0.36,-99,0.0,0.1,0,0,0,Normal
176,ค.ลาดบัวขาว ถ.เคหะร่มเกล้า,"Lat Bua Khao Canal, Keha Rom Klao Rd.",คลองลาดบัวขาว,13.76991,100.71494,2026-06-22 21:05:00,-0.16,-99,0.3,0.4,0,0,0,Normal
177,ค.ลาดบัวขาว ซ.กาญจนาภิเษก 24,"Lat Bua Khao Canal, Soi Kanchanaphisek 24",คลองลาดบัวขาว,13.74974,100.70291,2026-06-22 21:05:00,-0.19,-99,0.3,0.4,0,0,0,Normal
178,ปตร.คลองพญาเวิก,Phaya Wek Canal Drainage Gate,คลองพญาเวิก,13.79676,100.56697,2026-06-22 21:10:00,-1.07,-99,0.1,0.2,0,0,0,Normal
179,ส.ศูนย์ราชการ,Government Center Pump Station,คลองข้างศูนย์ราชการ,13.88457,100.56277,2026-06-22 20:20:00,-0.9,-99,1.0,1.2,0,0,0,Normal
18,ค.บางแวก-ค.ทวีวัฒนา,Bang Waek Canal-Thawi Watthana Canal,คลองบางแวก,13.72619,100.36426,2026-06-22 21:05:00,0.43,-99,0.7,0.8,0,0,0,Normal
183,ค.ราษฎร์สามัคคี ถ.เพชรเกษม 63,"Ratsada Samakkhi Canal, Petchkasem Rd. 63",คลองราษฎร์สามัคคี,13.70339,100.39142,2026-06-21 19:05:00,-0.24,-99,0.6,0.7,0,0,0,Normal
184,ค.ชวดใหญ่ ถ.พระราม 9,"Chud Yai Canal, Rama 9 Rd.",คลองชวดใหญ่,13.75502,100.58113,2026-06-22 21:05:00,-0.6,-99,-0.1,0.0,0,0,0,Normal
185,พระราม 9 ซ.13,Rama 9 Soi 13,คลองชวดใหญ่,13.76217,100.58648,2026-06-22 21:10:00,-0.63,-99,-0.1,0.0,0,0,0,Normal
188,ค.หลอด 2 ถ.บางนา ตราด,"Lod 2 Canal, Bangna-Trat Rd.",คลองหลอด 2,13.67099,100.62222,2026-06-22 21:05:00,-0.79,-99,0.0,0.2,0,0,0,Normal
189,ค.หัวหมาก ถ.ศรีนครินทร์,"Huamark Canal, Srinakarin Rd.",คลองหัวหมาก,13.73309,100.64107,2026-06-22 21:05:00,-0.49,-99,-0.2,0.0,0,0,0,Normal
19,ปตร.ค.สองสายใต้,Song Sai Tai Drainage Gate,คลองสองสายใต้,13.92294,100.63455,2026-06-22 21:05:00,0.13,1.03,0.8,1.0,0,0,1,Normal
190,ค.บางเตย ถ.นวมินทร์ 66/3,"Bang Toei Canal, Nawamin Rd. 66/3",คลองบางเตย,13.8065,100.64899,2026-06-22 21:05:00,-0.48,-99,0.4,0.5,0,0,0,Normal
191,ค.ศาลาลอย ถ.อ่อนนุช 61,"Sala Loi Canal, On Nut Rd. 61",คลองศาลาลอย,13.71599,100.67942,2026-06-22 19:10:00,-0.39,-99,0.1,0.25,0,0,0,Normal
196,ค.บางนางจีน ถ.สุขุมวิท 101/1,"Bang Nang Chin Canal, Sukhumvit Rd. 101/1",คลองบางนางจีน,13.68443,100.61107,2026-06-22 21:10:00,-0.98,-99,-0.2,0.0,0,0,0,Normal
197,ส.บางนางจีน ซ.สุขุมวิท 66/1,"Bang Nang Chin Canal, Sukhumvit Soi 66/1",คลองบางนางจีน,13.68202,100.60746,2026-06-22 21:05:00,-2.75,-99,-0.3,-0.1,0,0,0,Normal
198,ส.บางอ้อ ซ.สุขุมวิท 64,"Bang O Canal, Sukhumvit Soi 64",คลองบางอ้อ,13.68559,100.60441,2026-06-22 21:10:00,-0.9,-99,-0.2,0.0,0,0,0,Normal
199,ค.เจ็ก ถ.สุขุมวิท60/1,"Jek Canal, Sukhumvit Rd. 60/1",คลองเจ็ก,13.69734,100.6024,2026-06-22 21:05:00,-0.95,-99,-0.2,0.0,0,0,0,Normal
20,ปตร.พระยาสุเรนทร์,Phraya Suren Drainage Gate,คลองพระยาสุเรนทร์,13.92128,100.68731,2026-06-22 21:05:00,0.45,1.06,1.1,1.2,0,0,1,Normal
200,ค.สาม ร่มเกล้า 17,"Sam Canal, Rom Klao 17",คลองสาม,13.77538,100.75395,2026-06-22 21:05:00,0.12,-99,0.6,0.7,0,0,0,Normal
202,ค.สี่ ถ.เจ้าคุณทหาร,"Si Canal,Chaokun Thahan Rd.",คลองสี่,13.75363,100.7689,2026-06-22 21:05:00,0.03,-99,0.5,0.6,0,0,0,Normal
204,ค.ลาดกระบัง ซ.ลาดกระบัง 54/6,"Lat Krabang Canal, Soi Lat Krabang 54/6",คลองลาดกระบัง,13.72294,100.75193,2026-06-22 21:05:00,0.03,-99,0.5,0.6,0,0,0,Normal
206,ค.ตาพุก ถ.ลาดกระบัง,"Taphuk Canal, Lat Krabang Rd.",คลองตาพุก,13.72193,100.70919,2026-06-22 21:05:00,-0.23,-99,0.3,0.4,0,0,0,Normal
207,ค.วัดหลักสี่ ถ.วิภาวดี,"Lak Si Temple Canal, Vibhavadi Rd.",คลองวัดหลักสี่,13.89041,100.5847,2026-06-22 21:05:00,-0.02,-99,0.8,1.0,0,0,0,Normal
208,ค.จั่น ถ.ลาดพร้าว,"Chan Canal,Lat Phrao Rd.",คลองจั่น,13.77609,100.62816,2026-06-22 18:25:00,-0.51,-99,-0.2,0.0,0,0,0,Normal
209,ค.จั่น ถ.โยธินพัฒนา,"Chan Canal, Yothin Phatthana Rd.",คลองจั่น,13.80547,100.6226,2026-06-22 21:10:00,-0.55,-99,0.3,0.4,0,0,0,Normal
21,ปตร.สามวา,Sam Wa Drainage Gate,คลองสามวา,13.85956,100.72931,2026-06-22 21:05:00,0.04,0.44,0.5,0.6,0,0,1,Normal
210,ค.เสือน้อย ถ. สุคนธสวัสดิ์,"Suea Noi Canal, Sukonthasawat Rd.",คลองเสือน้อย,13.82306,100.60897,2026-06-22 17:45:00,-1.08,-99,0.3,0.4,0,0,0,Normal
215,ส.คลองสะแกงาม,Sakae Ngam Pump Station,คลองสะแกงาม,13.62715,100.43402,2026-06-22 17:15:00,-0.71,-99,0.4,0.5,0,0,0,Normal
216,ค.บางบำหรุ ถ.สิรินธร,"Bang Bamru Canal, Sirindhorn Rd.",คลองบางบำหรุ,13.78876,100.48166,2026-06-22 21:05:00,-0.41,-99,0.7,0.8,0,0,0,Normal
217,ค.บางบำหรุ ถ.บรมราชชนนี,"Bang Bamru Canal, Borommaratchachonnani Rd.",คลองบางบำหรุ,13.77927,100.47591,2026-06-22 21:05:00,-0.36,-99,0.6,0.7,0,0,0,Normal
22,ค.บางบัว,Bang Bua Canal,คลองบางบัว,13.85806,100.58656,2026-06-22 21:05:00,-0.15,-99,0.8,1.0,0,0,0,Normal
233,ค.ผดุงกรุงเกษม หัวลำโพง,"Phudung Krung Kasem Canal, Hua Lamphong",คลองผดุงกรุงเกษม,13.74126,100.51582,2026-06-22 21:05:00,-0.83,-99,0.6,0.7,0,0,0,Normal
234,ค.หลอด ถ.ราชดำเนินใน,"Lot Canal, Ratchadamnoen Nai Rd.",คลองหลอด,13.75512,100.49554,2026-06-22 21:05:00,-0.33,-99,0.6,0.7,0,0,0,Normal
235,ค.หลอด ส.ปากคลองตลาด,"Lot Canal, Pak Khlong Talat Pump Station",คลองหลอด,13.74261,100.49492,2026-06-22 21:05:00,-0.42,-99,0.6,0.7,0,0,0,Normal
236,ค.บางลำพู สะพานผ่านฟ้า,"Bang Lamphu Canal, Phan Fa Bridge",คลองบางลำพู,13.75655,100.50563,2026-06-22 21:05:00,-0.78,-99,1.65,1.85,0,0,0,Normal
237,ค.บางนา  ถ.สุขุมวิท,"Bang Na Canal,Sukhumvit Rd.",คลองบางนา,13.66948,100.60535,2026-06-22 21:05:00,-1.01,-99,0.5,0.7,0,0,0,Normal
238,ค.ประเวศ ซ.อ่อนนุช 17,"Prawet Canal, Soi On Nut 17",คลองพระโขนง,13.71556,100.6106,2026-06-22 21:05:00,-0.6,-99,-0.2,-0.1,0,0,0,Normal
240,ค.ซอย ถ.ศาลาธรรมสพน์,"Soi Canal, Sala Thammasop Rd.",คลองซอย,13.80014,100.34874,2026-06-22 21:05:00,0.57,-99,0.9,1.0,0,0,0,Normal
243,ค.บางบอน ถ.กาญจนาภิเษก,Bang Bon Canal. Kanchanaphisek Rd.,คลองบางบอน,13.65786,100.40551,2026-06-22 21:05:00,-0.06,-99,0.6,0.7,0,0,0,Normal
245,ส.คลองบางยี่ขัน,Bang Yi Khan Canal Pump Station,คลองบางยี่ขัน,13.76741,100.49361,2026-06-22 21:10:00,-0.1,-99,0.6,0.7,0,0,0,Normal
246,ค.บางยี่ขัน ถ.จรัญสนิทวงศ์,"Bang Yi Khan Canal, Charansanitwong Rd.",คลองบางยี่ขัน,13.77571,100.48371,2026-06-22 21:05:00,-0.38,-99,0.6,0.7,0,0,0,Normal
247,ค.บัว ถ.พุทธมณฑลสาย 1,"Bua Canal, Phutthamonthon Sai 1 Rd.",คลองบัว,13.7797,100.42681,2026-06-22 21:05:00,-0.02,-99,0.9,1.0,0,0,0,Normal
25,ปตร.ค.แสนแสบ-ถ.ประชาร่วมใจ,Saen Saep Canal Drainage Gate-Pracha Ruam Jai Rd.,คลองแสนแสบ,13.82094,100.74738,2026-06-22 21:05:00,-0.09,0.2,0.5,0.6,0,0,1,Normal
256,ปตร.ไม้ปลายคลองบางนา,Mai Pla Khlong Bang Na Drainage Gate,คลองบางนา,13.6594,100.64935,2026-06-22 21:05:00,-0.43,-99,0.5,0.6,0,0,0,Normal
257,ค.ชวดใหญ่ ค.ลาดพร้าว,"Chuad Yai Canal, Lat Phrao Canal",คลองชวดใหญ่,13.7631,100.59243,2026-06-22 17:55:00,-0.48,-99,-0.1,0.0,0,0,0,Normal
258,ค.บางซื่อ ถ.ลาดพร้าว,"Bang Sue Canal, Lat Phrao Rd.",คลองบางซื่อ,13.79875,100.58655,2026-06-22 21:05:00,-0.68,-99,0.6,0.4,0,0,0,Normal
26,ส.คลองบางเขนใหม่,Bang Khen Mai Canal Pump Station,คลองบางเขนใหม่,13.81722,100.51066,2026-06-22 21:05:00,-0.91,0.16,0.4,0.5,10,0,5,Normal
260,ค.บางอ้อน้อย ซ.สุขุมวิท 64,"Bang O Noi Canal, Sukhumvit Soi 64",คลองบางอ้อน้อย,13.68495,100.60233,2026-06-22 21:05:00,-0.92,-99,-0.2,0.0,0,0,0,Normal
261,ค.บางอ้อใหญ่ ซ.สุขุมวิท 66/1,"Bang O Yai Canal, Sukhumvit Soi 66/1",คลองบางอ้อ,13.68076,100.60305,2026-06-22 21:05:00,-0.94,-99,-0.2,0.0,0,0,0,Normal
262,ปตร.คลองจระเข้ขบ,Charoek Khob Drainage Gate,คลองจระเข้ขบ,13.71579,100.70241,2026-06-22 18:10:00,-0.21,-99,0.2,0.6,0,0,0,Normal
263,ค.ปากน้ำ ถ.คู่ขนาน,Pak Nam Frontage Rd.,คลองปากน้ำ,13.68035,100.69899,2026-06-22 21:05:00,-0.15,-99,0.2,0.3,0,0,0,Normal
264,คูน้ำแอนเนกซ์ (บ่อสูบน้ำพหลโยธิน 58),Annex Canal (Phahon Yothin 58 Pump Station),บ่อสูบน้ำพหลโยธิน 58,13.93729,100.63895,2026-06-22 21:05:00,-0.07,-99,0.6,0.8,0,0,0,Normal
265,ค.กระเฉด,Krachet Canal,คลองกระเฉด,13.85826,100.62848,2026-06-22 21:05:00,-1.47,-99,-0.4,-0.2,0,0,0,Normal
266,ค.โอ่งอ่าง ปตร.วัดเทพธิดาราม ,"Ong Ang Canal, Thepthidaram Temple Drainage Gate",คลองโอ่งอ่าง,13.75379,100.50538,2026-06-22 21:10:00,-0.83,-99,0.8,1.0,0,0,0,Normal
268,ค.สวนอ้อย-ถ.อ่อนนุช ซ.28,Suan Oi Canal-On Nut Rd. Soi 28,คลองสวนอ้อย,13.70696,100.6159,2026-06-22 21:10:00,-0.84,-99,0.65,0.81,0,0,0,Normal
269,ค.บ้านหลาย-ซ.พึ่งมี 48,Ban Lai Canal - Soi Phung Mi 48,คลองบ้านหลาย,13.69986,100.62285,2026-06-22 21:10:00,-0.83,-99,0.92,1.15,0,0,0,Normal
270,ค.หัวหมาก-ซ.พัฒนาการ 32,Hua Mak Canal- Soi Phatthanakan 32,คลองหัวหมาก,13.71858,100.62618,2025-08-13 18:45:00,-0.57,-99,0.82,1.03,0,0,0,Normal
271,บึงรับน้ำลำพังพวย,Lamphang Phuai Reservoir,บึงรับน้ำลำพังพวย,13.78472,100.6481,2026-06-22 21:10:00,-1.44,-99,0.4,0.5,0,0,0,Normal
273,ค.บ้านใหม่-ซ.พระแม่การุณย์ 27,Ban Mai Canal- Soi Phra Mae Karun 27,คลองบ้านใหม่,13.95064,100.55926,2026-06-22 21:10:00,0.02,-99,0.8,1.01,0,0,0,Normal
274,คูน้ำวิภาวดี-กรมดุริยางค์ ทบ.,Vibhavadi Canal-Royal Thai Army Band Department,คูน้ำวิภาวดี,13.76996,100.55081,2026-06-22 21:10:00,-0.98,-99,0.2,0.3,0,0,0,Normal
275,คูน้ำนายใช้-ค.เปรมฯ,Nai Sai Canal-Prem Canal,คูน้ำนายใช้,13.93925,100.60767,2026-06-22 21:10:00,0.67,-99,1.92,2.4,0,0,0,Normal
276,บึงรับน้ำ ม.เฟรนด์ชิพ,Friendship Village Reservoir,บึงหมู่บ้านเฟรนต์ชิพ,13.8399,100.62865,2026-06-22 21:10:00,-0.52,-99,1.02,1.27,0,0,0,Normal
277,ค.อาจารย์พร-ปตร.คลองอาจารย์พร,Ajarn Phon Canal-Ajarn Phon Drainage Gate,คลองอาจารย์พร,13.66424,100.68944,2026-06-22 21:10:00,-0.51,-99,0.71,0.89,0,0,0,Normal
278,ค.หัวหมาก-ซ.รามคำแหง 68,Hua Mak Canal- Soi Ramkhamhaeng 68,คลองหัวหมาก,13.76438,100.65679,2026-06-22 21:10:00,-0.49,-99,0.68,0.79,0,0,0,Normal
279,ค.มะขามเทศ-ถ.พัฒนาการ,Makham Thet Canal-Phatthanakan Rd.,คลองมะขามเทศ,13.70015,100.67492,2026-06-22 21:10:00,-0.44,-99,0.62,0.77,0,0,0,Normal
28,ส.คลองบางซื่อ,Bang Sue Canal,คลองบางซื่อ,13.80009,100.5184,2026-06-22 21:05:00,-0.91,0.24,0.3,0.4,17,0,6,Normal
280,ค.บางกอกใหญ่-วัดคูหาสวรรค์,Bangkok Yai-Khuhasawan Temple,คลองชักพระ,13.73232,100.46284,2026-06-22 21:10:00,-0.06,-99,0.93,1.16,0,0,0,Normal
281,ค.วัดหัวกระบือ,Huakrabue Temple,คลองวัดหัวกระบือ,13.62024,100.45005,2026-06-22 21:10:00,0.16,-99,0.89,1.11,0,0,0,Normal
283,บึงกุ่มบางเตย ส.คลองบางเตยล่าง,"Bungkum Bangtoey, Bangtoey Lang Pump Station",บึงรับน้ำบึงกุ่มบางเตย,13.78428,100.66176,2026-06-22 21:10:00,-0.45,-99,0.33,0.41,0,0,0,Normal
284,บึงรับน้ำ ม.สัมมากร,Sammakorn Village Reservoir,บึงรับน้ำหมู่บ้านสัมมากร,13.76676,100.67784,2026-06-22 21:10:00,-0.46,-99,0.35,0.44,0,0,0,Normal
285,บึงรับน้ำ ม.เมืองทองการ์เด้น,Muang Thong Garden Village Reservoir,บึงรับน้ำหมู่บ้านเมืองทองการ์เด้น,13.72417,100.66429,2026-06-22 21:10:00,-0.59,-99,1.46,1.83,0,0,0,Normal
286,ค.เจ้าคุณสิงห์-ถ.อินทราภรณ์,Chaokhun Singh Canal-Intharaphon Rd.,คลองเจ้าคุณสิงห์,13.77092,100.61482,2026-06-22 21:10:00,-1.04,-99,0.51,0.64,0,0,0,Normal
287,ค.รางไผ่,Rang Phai Canal,คลองหมื่นแช่ม,13.64931,100.38578,2026-06-22 21:10:00,0.05,-99,1.12,1.4,0,0,0,Normal
288,ค.บ้านม้า-ถ.รามคำแหง,Ban Ma Canal-Ramkhamhaeng Rd.,คลองบ้านม้า,13.77281,100.66569,2026-06-22 21:10:00,-0.5,-99,2.14,2.68,0,0,0,Normal
289,ค.ปลัดเปรียง-ถ.เฉลิมพระเกียรติร.9 ซ.14,"Plat Priang Canal-Chaloem Phrakiat Rama 9 Rd., Soi 14",คลองปลัดเปรียง,13.67009,100.66787,2026-06-22 21:10:00,-0.51,-99,0.4,0.5,0,0,0,Normal
29,ปตร.แสนแสบ-บางชัน,Saen Saep Drainage Gate-Bang Chan,คลองแสนแสบ,13.7972,100.70458,2026-06-22 21:05:00,-0.42,-0.04,0.4,0.5,0,0,1,Normal
290,ค.บ้านไทร-ถ.พุทธมณฑลสาย 2,Ban Sai Canal-Phutthamonthon Sai 2 Rd.,คลองบ้านไทร,13.78274,100.3949,2026-06-22 21:10:00,0.17,-99,2.78,3.47,0,0,0,Normal
291,ค.สนามชัย-วัดเลา,Sanam Chai Canal-Lao Temple,คลองสนามชัย,13.66616,100.44685,2026-06-22 21:10:00,-0.3,-99,0.4,0.5,0,0,0,Normal
292,ค.พระยาราชมนตรี-ถ.กัลปพฤกษ์,Phraya Ratchamontri Canal-Kanlapaphruek Rd.,คลองพระยาราชมนตรี,13.68785,100.42779,2026-06-22 21:05:00,-0.01,-99,0.6,0.7,0,0,0,Normal
